Screenname,Legacy_Verified,Follower_Count,Subscription_Date,Status
GrahamAllen_1,V,250495,1/19/2023,B
toadmeister,V,250449,1/19/2023,B
VDHanson,V,250156,1/19/2023,B
Sharpp,V,249734,1/13/2023,B
WhaleCoinTalk,V,249611,11/13/2022,B
jowyang,V,248645,1/9/2023,B
SlanderOfficial,V,248092,12/15/2022,B
DiMartinoBooth,V,247160,1/27/2023,B
EVerastegui,V,247068,2/3/2023,B
redban,V,246421,11/10/2022,U
ProTheDoge,V,246203,11/10/2022,B
edibow,V,246010,1/27/2023,B
haydenzadams,V,244848,11/10/2022,B
itskac,V,244310,1/15/2023,B
LooksRare,V,243670,1/14/2023,B
bobandtom,V,242749,1/20/2023,B
diegoescosteguy,V,242673,11/10/2022,B
IAMFASHlON,V,241521,11/25/2022,B
lovebscott,V,240091,12/6/2022,B
nascarcasm,V,239806,11/10/2022,U
cryptorecruitr,V,239331,1/20/2023,B
md_almousa,V,239301,1/20/2023,B
SarantosMelogia,V,238270,1/10/2023,B
adammshankman,V,237979,1/5/2023,B
KenAkamatsu,V,237816,1/24/2023,B
SphereSXS,V,237643,1/19/2023,B
ensdomains,V,237240,1/19/2023,B
raphablueberry,V,236703,11/10/2022,U
businessbarista,V,236699,1/19/2023,B
dougboneparth,V,236183,1/10/2023,B
US_STRATCOM,V,235355,1/14/2023,B
7BOOMERESIASON,V,235179,11/10/2022,B
LeekDuck,V,234883,1/21/2023,B
StaceyDales,V,234858,1/20/2023,B
TwitchyTeam,V,233704,12/22/2022,B
MarshaCollier,V,233138,12/23/2022,B
anisyiaxxx,V,232834,1/14/2023,B
shomaristone,V,232347,12/14/2022,B
IsabelOakeshott,V,232338,12/23/2022,B
blckriflecoffee,V,232021,1/13/2023,B
SamRasoulpour,V,231866,12/6/2022,U
OttoMatticBaby,V,230892,12/30/2022,B
aeyakovenko,V,230892,11/10/2022,U
MecoleHardman4,V,229577,1/18/2023,B
laurashin,V,227178,12/23/2022,B
FranAltomare,V,227066,12/31/2022,B
richimedhurst,V,226016,11/11/2022,B
MaximeBernier,V,225418,12/22/2022,B
michaeldweiss,V,224955,1/14/2023,B
Daystar,V,224897,1/19/2023,B
MaxWinebach,V,224733,1/14/2023,U
SeanParnellUSA,V,224666,1/5/2023,B
njpwworld,V,224229,1/15/2023,B
Liv_Boeree,V,223851,12/30/2022,B
shawtyastrology,V,222702,11/10/2022,B
davidwebbshow,V,222652,12/28/2022,B
bollemdb,V,222561,11/23/2022,B
Al7eyadea,V,221847,1/10/2023,B
VinnyLingham,V,221631,1/10/2023,B
SeanRossSapp,V,221596,1/14/2023,B
RonColeman,V,221063,12/22/2022,B
EWErickson,V,220580,12/14/2022,B
reed6robertson,V,220199,1/13/2023,B
FootballSenegal,V,218921,12/6/2022,B
TrueNorthCentre,V,218263,1/14/2023,B
Jerrythekid21,V,217825,1/5/2023,B
RELEVANT,V,217607,11/11/2022,U
MartyMakary,V,216473,12/31/2022,B
williemgc,V,216186,12/1/2022,B
tylercowen,V,216002,1/26/2023,B
DerikFein,V,215345,1/10/2023,U
Tommey,V,214897,1/10/2023,B
tamerabdoamin,V,214604,1/1/2023,B
cryptoquant_com,V,213575,12/14/2022,B
CoreyRForrester,V,212891,11/10/2022,B
Adem_Gunes,V,212839,1/10/2023,U
troyhunt,V,212543,1/5/2023,B
SteveOnSpeed,V,212403,12/28/2022,B
Muppetiers,V,212295,12/23/2022,B
jaltucher,V,212142,1/11/2023,B
ankr,V,211103,1/18/2023,B
saadmohseni,V,210514,1/13/2023,B
OliviaTroye,V,210329,1/19/2023,B
ShannadeJenee,V,210040,1/6/2023,B
frfrankpavone,V,209650,1/26/2023,B
TPPatriots,V,209358,11/10/2022,B
TheFreds,V,209306,1/26/2023,B
awilkinson,V,209258,12/22/2022,B
Antonio_Nelli,V,209249,12/16/2022,B
andyholloway,V,208825,1/15/2023,B
sahilkapur,V,207818,12/30/2022,B
PaulMalignaggi,V,206111,11/10/2022,B
toddstarnes,V,206012,1/14/2023,B
Stake,V,205957,12/14/2022,B
jameshaskell,V,205330,1/5/2023,B
RobertJohnDavi,V,205303,11/11/2022,B
LeeCamp,V,205159,12/22/2022,B
MenchacaOficial,V,205083,12/28/2022,B
i3zcom,V,204648,1/10/2023,B
8bit_HORIJUN,V,203579,1/13/2023,B
mg_almas,V,202942,1/10/2023,B
AdemMetan,V,202368,1/15/2023,B
coryklippsten,V,201167,1/19/2023,B
TheAKGuy,V,200962,11/11/2022,B
JeremyMcLellan,V,200772,12/22/2022,B
kelseyhightower,V,200040,11/10/2022,U
Beisbologo,V,199998,12/22/2022,B
XavierWulf,V,199666,12/22/2022,B
sekai_official_,V,199213,1/14/2023,B
keung,V,198520,1/10/2023,B
AstralisR6,V,198458,12/7/2022,B
stevesi,V,198347,12/7/2022,B
TashaARK,V,198186,1/19/2023,B
hugolowell,V,198156,12/14/2022,B
hfsalasromer,V,198065,11/29/2022,U
maingear,V,197943,1/27/2023,B
JacobsBen,V,197943,11/10/2022,B
ShawnaLeneeShow,V,197828,11/11/2022,U
BPmattmorgan,V,197646,12/20/2022,B
Blockstream,V,197344,1/20/2023,B
Thom_Hartmann,V,196602,1/10/2023,B
NiceWigg,V,196584,12/6/2022,B
shindanmaker,V,196304,1/15/2023,B
ryantakesoff,V,195029,12/30/2022,B
OmarRiverosays,V,194870,11/10/2022,B
dYdX,V,193949,1/20/2023,B
CatalinaLauf,V,193577,1/5/2023,B
diegosaurs,V,192795,1/10/2023,B
Thyview,V,192671,12/2/2022,B
VivekGRamaswamy,V,192575,12/28/2022,U
seedphrase,V,192232,12/30/2022,B
TDPresentsYT,V,191797,1/10/2023,B
HZshizuku,V,190621,1/15/2023,B
brycent_,V,190590,11/10/2022,B
Digiday,V,190449,12/16/2022,B
ryanlongcomedy,V,189844,1/19/2023,B
nikitabier,V,188504,12/29/2022,B
SteveDeaceShow,V,188446,12/28/2022,B
ToneDigz,V,188353,11/10/2022,B
LaMarrWoodley,V,188309,1/10/2023,B
TheRealDrMiami,V,187863,11/10/2022,B
BRichards_1991,V,187629,1/13/2023,B
Injective_,V,187621,11/11/2022,U
NadineDorries,V,187259,11/10/2022,B
andr3w,V,187148,11/10/2022,U
YourFellowArab,V,186931,1/5/2023,B
agazdecki,V,186905,11/10/2022,B
Venice311,V,186164,1/20/2023,B
FFHitman,V,185849,1/19/2023,B
TheEmilyDBaker,V,185828,11/10/2022,U
DeRaceNFT,V,185649,12/23/2022,B
ariejr,V,184912,1/15/2023,B
TomBilyeu,V,184613,11/10/2022,B
robeytech,V,184505,11/11/2022,B
Ianblackford_MP,V,184221,1/20/2023,B
premierboxing,V,183887,1/13/2023,B
niubi,V,183299,1/18/2023,B
tod,V,182962,12/14/2022,B
rupasubramanya,V,182949,11/10/2022,U
katiehobbs,V,182442,12/31/2022,B
RMConservative,V,182421,1/14/2023,B
sriramk,V,182282,11/10/2022,B
Zellsis,V,182120,1/10/2023,B
Dominiquetaegon,V,181144,12/31/2022,B
ota324,V,180312,1/28/2023,B
kevincorke,V,180250,12/28/2022,B
DVATW,V,180197,12/14/2022,B
richerd,V,179935,12/29/2022,B
KassyDillon,V,179904,1/27/2023,B
FozzieBear,V,179899,12/20/2022,B
CityofMiami,V,179006,1/20/2023,U
mikemo,V,178868,11/11/2022,U
Amy_taboo,V,178627,12/13/2022,B
sinaEstavi,V,178596,11/11/2022,B
bigthink,V,178235,1/24/2023,B
HackingDave,V,177972,11/10/2022,B
kurtbardella,V,177895,1/14/2023,B
JamesBradleyCA,V,176667,11/11/2022,B
socceraid,V,176040,1/10/2023,B
BrendanEich,V,175813,1/19/2023,B
youngfollowill,V,174998,12/14/2022,B
afreedma,V,174480,12/17/2022,B
jfx,V,174294,12/30/2022,B
rgoodlaw,V,174273,12/31/2022,B
GonzotheGreat,V,173770,12/20/2022,B
EricDJuly,V,173675,1/19/2023,B
CaptJamyl,V,173537,1/10/2023,B
fvckrender,V,173429,1/13/2023,B
akinipek01,V,173404,12/1/2022,B
Shiphtur,V,173031,1/23/2023,B
stickermule,V,172980,12/14/2022,B
OxfordDiplomat,V,172971,11/10/2022,B
davereaboi,V,172717,1/13/2023,B
nickopiyo,V,172682,1/1/2023,B
cobragolf,V,172530,1/11/2023,B
ChrisVernonShow,V,171924,11/10/2022,U
goldietaylor,V,171578,12/14/2022,B
tropoFarmer,V,171390,2/3/2023,B
hastr0,V,171107,2/2/2023,B
JoelHeyman,V,170610,12/17/2022,B
vercel,V,170466,1/19/2023,B
NjTank99,V,170056,1/19/2023,B
DetroitBORG,V,169927,11/10/2022,U
sheerazhasan,V,169857,11/18/2022,B
OriginProtocol,V,169796,2/5/2023,B
OMFGITSOSCAR,V,169707,12/7/2022,B
urltv,V,169287,1/10/2023,B
damienwoody,V,169230,11/10/2022,B
dereckblanco,V,168859,12/6/2022,B
MohnishPabrai,V,167647,11/11/2022,B
umbro,V,167483,12/16/2022,B
saradietschy,V,167235,11/10/2022,U
RMTunion,V,167114,12/28/2022,B
TheBubbleBubble,V,167083,11/11/2022,B
LightsCameraPod,V,166749,12/15/2022,U
GlennJacobsTN,V,166582,2/3/2023,B
love_belfast,V,166296,11/11/2022,B
willsommer,V,165756,1/31/2023,B
Romarley,V,165261,1/11/2023,B
edipyuksel,V,165089,12/23/2022,U
D3NNI_yt,V,164980,12/6/2022,B
BryanHoch,V,163950,12/31/2022,B
MeredithFrost,V,163350,12/30/2022,B
hakki_alkan,V,162943,1/10/2023,B
mulligan,V,162151,1/27/2023,B
KevinSusanto,V,161931,11/10/2022,U
JasonSilva,V,161662,12/29/2022,B
Abbasshabbir72,V,161534,1/14/2023,B
aureylian,V,160595,11/10/2022,B
wongmjane,V,160474,11/10/2022,B
SteveBakerHW,V,160252,11/11/2022,B
CanteringClark,V,160129,11/10/2022,B
themarketswork,V,159967,1/27/2023,B
jaredkushner,V,159709,1/19/2023,B
TwitPrensi,V,159704,2/3/2023,U
HarryStebbings,V,159198,11/10/2022,B
ethoz,V,158817,1/14/2023,B
Covers,V,158769,12/14/2022,B
TheHankBaskett,V,158665,11/29/2022,U
morethanmySLE,V,157976,12/22/2022,B
LondonRealTV,V,157975,12/14/2022,B
ddiamond,V,157839,1/14/2023,B
OKWildlifeDept,V,157638,1/13/2023,B
AlMonitor,V,157286,12/28/2022,B
Youtubable,V,156951,12/16/2022,U
CryptoGorillaYT,V,156722,12/31/2022,B
Highway_30,V,156602,1/14/2023,B
OphirGottlieb,V,156594,1/27/2023,B
matt_kohrs,V,156587,12/14/2022,B
ABDanielleSmith,V,156345,12/28/2022,B
monicaonairtalk,V,155664,12/16/2022,B
ryancarson,V,155357,1/10/2023,B
arash_sobhani,V,155035,1/27/2023,U
AssaadRazzouk,V,154912,12/22/2022,B
tconrad,V,154327,12/22/2022,B
j1mmyeth,V,154298,11/10/2022,B
Aztecross,V,154267,12/22/2022,B
lthomasnews,V,153555,1/20/2023,B
timjacobwise,V,153356,1/13/2023,B
pokejungle,V,153200,12/22/2022,B
shennronn_Drums,V,153129,1/13/2023,B
chriscantino,V,153024,12/28/2022,B
Bombardier,V,152825,1/19/2023,B
IMSA,V,152703,1/19/2023,B
AliRaja_MD,V,151933,12/23/2022,B
NavalInstitute,V,151918,1/10/2023,B
KingPMoney,V,151618,11/10/2022,B
angiecthomas,V,151287,12/30/2022,B
BrianKempGA,V,150914,1/27/2023,B
towelthetank,V,150223,1/9/2023,B
UmarKamani,V,149892,2/4/2023,B
antoniogm,V,149876,11/10/2022,B
jgebbia,V,149814,12/16/2022,B
LWillson_82,V,149800,12/30/2022,B
ThatUmbrella,V,149733,12/22/2022,B
jeffreyatucker,V,149507,1/11/2023,B
tuajans,V,149435,1/9/2023,B
MasonVersluis,V,149389,1/26/2023,B
MichelleRempel,V,148948,11/19/2022,B
mikebutcher,V,148803,1/26/2023,B
joekent16jan19,V,148164,1/5/2023,B
MoureDev,V,148145,12/14/2022,U
TheOtherMandela,V,147423,1/10/2023,B
RachelBitecofer,V,147230,1/5/2023,B
LittleMissFlint,V,146879,1/15/2023,B
SirajAHashmi,V,146830,1/13/2023,B
ThreshedThought,V,146767,11/10/2022,B
GordonGoner,V,146496,11/10/2022,B
LTZONDA,V,146396,11/10/2022,U
IAMCouncil,V,146283,1/10/2023,B
calxandr,V,145551,12/17/2022,B
The_RockTrading,V,145143,11/10/2022,B
FUCCl,V,145079,12/27/2022,B
MrHumanityGives,V,144824,11/10/2022,B
DramaKingMatt,V,144479,12/6/2022,U
iSocialFanz,V,144002,11/10/2022,B
ClutchPointsApp,V,143969,12/30/2022,B
SCARZ5,V,143880,1/15/2023,B
NW44,V,143752,11/14/2022,B
TickPick,V,143478,12/22/2022,B
BriannaWu,V,143237,12/14/2022,B
PanteraCapital,V,143096,1/13/2023,B
SimonBrodkin,V,142602,1/20/2023,B
noatishby,V,142284,1/19/2023,B
WOLF_Financial,V,142037,1/14/2023,B
mosseri,V,142031,1/27/2023,B
GhostEsports,V,142003,1/10/2023,B
PlantBasedNews,V,141931,1/26/2023,B
asanoruri,V,141847,1/14/2023,U
chickmcgee1,V,141828,2/2/2023,B
matthewstoller,V,141528,12/14/2022,B
Doranimated,V,141004,1/13/2023,B
reedhastings,V,140980,12/22/2022,B
the_female_lead,V,140911,1/24/2023,B
dollarsanddata,V,140812,11/10/2022,U
RobGavagan,V,140776,11/10/2022,B
pascal_mulegwa,V,140361,1/28/2023,B
bubbagumpino,V,140330,12/14/2022,B
seanelliottoc,V,140328,12/17/2022,B
Bipartisanism,V,140024,12/23/2022,B
TheBoiSantana,V,139647,12/12/2022,B
Mikey_Tay1or,V,139631,1/10/2023,B
GraceRandolph,V,139604,11/10/2022,B
Neslo,V,139484,2/2/2023,B
Dejan_Kovacevic,V,139477,11/10/2022,B
Glamazontyomi,V,139454,11/10/2022,B
CamHaller,V,139098,11/10/2022,U
wolfejosh,V,139037,12/22/2022,B
JamesCullenB,V,139018,11/10/2022,B
OrlvndoA,V,138746,1/13/2023,B
JosephNSanberg,V,138648,1/1/2023,B
JamesTodaroMD,V,137959,1/5/2023,B
Joi,V,137954,1/19/2023,B
KrisWilliams,V,137609,1/13/2023,B
DigPerspectives,V,137172,1/5/2023,B
PaladinAmber,V,136709,2/4/2023,B
Osama_Alnujaifi,V,136589,12/27/2022,B
YALiberty,V,136230,1/19/2023,B
fewocious,V,136013,11/11/2022,B
wyntonmarsalis,V,135516,1/5/2023,B
ChadSimmons_,V,135367,12/31/2022,B
LeslynLewis,V,135325,1/19/2023,B
WilderWorld,V,134920,12/23/2022,B
adamfgoldberg,V,134910,1/26/2023,B
DrifterShoots,V,134835,1/5/2023,B
CliffGFuelCEO,V,134814,11/11/2022,B
FreakazoidA,V,134692,12/6/2022,B
alarab_kw,V,134154,1/28/2023,B
KeithJKrach,V,134141,2/1/2023,B
SolanaLegend,V,133689,12/31/2022,U
rauchg,V,133304,12/31/2022,B
austin_rief,V,132502,12/31/2022,B
HalSparks,V,132464,11/11/2022,B
scottsantens,V,132270,1/27/2023,B
jessfraz,V,131846,2/2/2023,B
Nokokopuffs,V,131412,1/14/2023,B
WPT,V,131410,12/22/2022,B
timyoung,V,130839,1/19/2023,B
VicLombardi,V,130626,1/20/2023,B
CassSunstein,V,130572,1/14/2023,B
alhan,V,130516,11/10/2022,U
DanielMiessler,V,130485,12/22/2022,B
maryannehobbs,V,130474,1/21/2023,B
colinfordactor,V,130356,11/11/2022,U
ajdillon7,V,130312,2/3/2023,B
Swiftor,V,130310,12/14/2022,B
fshin2000,V,129900,1/19/2023,B
ACCinTouch,V,129474,1/24/2023,B
PopeyesNFTs,V,129444,1/10/2023,B
Ebron85,V,129342,1/11/2023,U
CoreyDixon33,V,129256,1/1/2023,B
ambermac,V,129107,12/31/2022,B
paulwrblanchard,V,128841,11/10/2022,B
NYPDPC,V,128712,1/5/2023,B
thekapman,V,128077,1/6/2023,B
AnfieldIndex,V,128013,11/14/2022,U
JoshDenny,V,127308,12/28/2022,B
LoriShemek,V,127161,12/22/2022,B
Batka_,V,127041,1/10/2023,B
primalpoly,V,127021,1/14/2023,B
JaclynGlenn,V,126463,11/10/2022,B
ArlanWasHere,V,126407,1/19/2023,B
CaptPaulWatson,V,126364,12/30/2022,B
yannispappas,V,126206,1/19/2023,B
alistairmilne,V,126030,12/30/2022,B
tonipayne,V,125850,1/21/2023,U
kmele,V,125645,1/23/2023,B
WFANmornings,V,125331,11/11/2022,B
GutterCatGang,V,124826,1/9/2023,B
KylePorterCBS,V,124682,1/31/2023,B
Ubiquiti,V,124669,2/4/2023,B
joeyldotcom,V,124352,12/22/2022,B
mongabay,V,124337,2/2/2023,B
Enrique_Acevedo,V,124239,1/27/2023,B
PUNPEE,V,124003,1/15/2023,B
JFowlerESPN,V,123869,1/19/2023,B
joshelman,V,123207,11/10/2022,B
adventistchurch,V,123200,12/30/2022,B
StockLizardKing,V,123159,11/10/2022,U
Nerdrotics,V,123130,1/8/2023,B
rweingarten,V,122743,12/14/2022,B
KayeSteinsapir,V,122698,2/5/2023,B
robbwolf,V,122637,12/28/2022,B
DucksUnlimited,V,122539,1/15/2023,B
NEMRCOMEDY,V,122403,12/20/2022,B
vicmignogna,V,121288,12/23/2022,B
ChitoGaminYT,V,121062,12/6/2022,U
scottbelsky,V,120923,1/13/2023,B
JoeDonRooney,V,120540,1/18/2023,B
KendallRogers,V,120344,1/18/2023,B
MikeLoychik,V,120324,11/10/2022,B
ArthurSchwartz,V,120298,12/14/2022,B
fluffypony,V,120205,11/10/2022,B
commonwealthsec,V,120065,1/27/2023,B
VinGuptaMD,V,118983,12/22/2022,B
StuDoesAmerica,V,118756,11/10/2022,B
eladgil,V,118680,11/10/2022,B
KysreRae,V,118624,1/8/2023,B
jerallaire,V,118614,1/9/2023,B
mrboboskie,V,118500,11/11/2022,U
Steve_Nguyen,V,118092,11/10/2022,U
jonostrower,V,118043,11/10/2022,U
JamesKosur,V,117028,11/10/2022,U
gokhshteinmedia,V,116956,12/16/2022,B
hxhassan,V,116822,12/14/2022,U
Lexual__,V,116625,1/25/2023,B
ValentinoKhan,V,116593,12/22/2022,B
AaronSiriSG,V,116505,1/14/2023,B
Pokket,V,116451,12/23/2022,B
TheCryptoZombie,V,116315,1/21/2023,B
Jowhara8_,V,116233,12/16/2022,B
craigcampbell03,V,115948,11/10/2022,B
Aeolus,V,115414,1/10/2023,B
GaryDelaney,V,115189,12/19/2022,B
masato_jones,V,115151,11/11/2022,U
tunabeklevic,V,114909,1/14/2023,B
joshuahorowitz,V,114864,12/22/2022,U
TheSiskar,V,114861,12/23/2022,B
beijingdou,V,114797,11/10/2022,B
DavidChoiMusic,V,114746,11/10/2022,B
FiteTV,V,114628,1/13/2023,B
davidmarcus,V,114216,11/10/2022,B
OnTheDownLoTho,V,113910,1/5/2023,U
CobbSchools,V,113547,12/14/2022,B
yoast,V,113516,12/22/2022,B
VivalaZito,V,113340,1/21/2023,B
simonahac,V,113184,1/31/2023,B
Omid_M,V,113175,1/6/2023,B
NewshaSaremi,V,112850,12/6/2022,B
JeffDLowe,V,112761,1/27/2023,B
anmas71,V,112219,12/22/2022,B
mxuie,V,111757,12/31/2022,B
christinawilkie,V,111382,1/13/2023,B
LeJuan__James,V,110979,12/16/2022,B
stinchfield1776,V,110887,12/14/2022,B
MebFaber,V,110856,1/19/2023,B
JanJekielek,V,110839,1/14/2023,B
maxwhitlock1,V,110829,1/10/2023,B
Roman_Baber,V,110621,1/18/2023,B
TheFIREorg,V,110153,12/22/2022,B
DrMehari,V,110065,12/28/2022,U
Athena,V,110001,1/10/2023,B
nwa,V,109994,1/14/2023,B
BAESystemsplc,V,109462,12/16/2022,B
Tara_Moss,V,109461,1/21/2023,B
ballmatthew,V,108825,1/19/2023,B
emmakennytv,V,108671,11/10/2022,B
launders,V,108473,1/10/2023,B
unherd,V,108439,12/23/2022,B
ashleevance,V,108415,12/14/2022,B
ZyoriTV,V,108261,1/5/2023,B
spotrac,V,108051,12/6/2022,B
wesrucker247,V,108022,11/11/2022,B
Weatherford5,V,107863,1/6/2023,B
joshledet,V,107589,1/22/2023,B
MarcusHouse,V,107247,1/5/2023,B
libbyemmons,V,107065,12/29/2022,B
zyfaFN,V,107053,12/6/2022,U
DecentralGames,V,107031,12/23/2022,B
LouStagner,V,106869,11/10/2022,B
JoshKraushaar,V,106798,1/27/2023,B
NekozTek,V,106737,1/27/2023,B
_fredymontero,V,106692,2/1/2023,B
RepMontague,V,106614,1/13/2023,B
chicksonright,V,106274,11/10/2022,B
LateKickJosh,V,106015,1/12/2023,B
seth_leitman,V,106004,12/14/2022,B
brittanydailey,V,105943,1/10/2023,B
StatlerWaldorf,V,105901,12/31/2022,B
grassosteve,V,105783,12/17/2022,B
refikanadol,V,105685,12/16/2022,B
eriktorenberg,V,105443,12/29/2022,B
ArmsControlWonk,V,105430,12/30/2022,B
moment,V,105365,1/7/2023,B
EldoraSpeedway,V,105341,1/5/2023,B
BTC_NFT,V,105168,12/11/2022,B
kingchip,V,105044,12/6/2022,B
MikeLevin,V,104742,11/23/2022,B
cenksidar,V,104572,1/14/2023,B
NatPoliceAssoc,V,104523,12/30/2022,B
zoink,V,104437,11/10/2022,B
RachelintheOC,V,104433,11/10/2022,B
dancohen3000,V,104323,1/13/2023,B
ThemeParkReview,V,104309,12/30/2022,B
charrosbeisbol,V,104306,1/15/2023,B
nvk,V,104300,12/7/2022,B
RyuichiYoneyama,V,104126,2/3/2023,B
JaredFPS,V,104048,11/19/2022,B
prince,V,103657,1/26/2023,B
87ed,V,103365,1/25/2023,B
esports,V,103175,12/22/2022,B
BenJealous,V,103004,2/3/2023,B
TAKAHIRO3IURA,V,102928,1/14/2023,B
68INCOGNITO,V,102916,11/10/2022,B
philthatremains,V,102739,1/10/2023,B
BSO,V,102689,1/19/2023,B
JenniferSey,V,102570,12/14/2022,B
sophiaamoruso,V,102535,1/24/2023,B
LuciaCNavarro,V,102323,1/28/2023,B
brucefenton,V,102300,1/13/2023,B
claudejoseph03,V,102147,1/10/2023,B
ddkesports,V,102076,1/20/2023,B
film_girl,V,101912,12/30/2022,B
Electra,V,101852,1/10/2023,B
Hayesfawcett3,V,101759,11/11/2022,B
SpicyPrawn,V,101662,12/20/2022,B
IshaUSA,V,101522,12/20/2022,B
EtNaif,V,101399,1/14/2023,B
joseiswriting,V,101381,1/5/2023,U
NDSUfootball,V,101312,12/14/2022,B
SurreyNews,V,101188,12/24/2022,B
VegasRefund,V,101185,1/14/2023,B
5050RecordLabel,V,101130,1/19/2023,B
SGhasseminejad,V,101130,1/10/2023,B
bway,V,101124,12/14/2022,B
zollotech,V,100973,11/10/2022,B
philiplord,V,100832,1/14/2023,B
RyanMaue,V,100776,12/29/2022,B
emollick,V,100748,1/14/2023,B
JonathanBlum,V,100562,1/10/2023,B
Michele_Tafoya,V,100420,1/26/2023,B
ZDaryabi,V,100256,1/18/2023,B
KevinGarnett5KG,V,100047,1/15/2023,B
WesleyHuntTX,V,99636,12/28/2022,B
alexsalvinews,V,99311,1/19/2023,B
RonnieBrewerJr,V,99250,1/19/2023,B
John_Papa,V,99098,1/19/2023,B
KING_BABYBAY,V,98971,2/4/2023,B
PBCountySheriff,V,98970,12/30/2022,B
westcoastbill,V,98848,11/10/2022,B
ajv,V,98753,1/5/2023,B
susannecraig,V,98629,1/26/2023,B
causes,V,98608,1/27/2023,B
mrmarkdolan,V,98249,12/29/2022,B
JohnKnopfPhotos,V,97955,11/10/2022,U
cryptoWZRD_,V,97774,12/23/2022,B
kennyvaccaro,V,97759,1/10/2023,B
BigOShow,V,97664,11/10/2022,B
jgarzik,V,97297,1/20/2023,B
KUSINews,V,97234,1/11/2023,B
syedbalkhi,V,96914,1/11/2023,B
ElevateGG,V,96884,1/10/2023,U
HJoyceGender,V,96868,1/10/2023,B
kharyp,V,96787,12/30/2022,B
JLucroy20,V,96718,12/17/2022,B
crooksandliars,V,96411,1/15/2023,B
DAMAC_CLUB,V,96315,1/10/2023,B
littleesther,V,96067,12/30/2022,B
Rizzo,V,95896,12/20/2022,B
JTLonsdale,V,95739,12/29/2022,B
Scientology,V,95541,11/11/2022,B
akafacehots,V,95370,1/10/2023,B
JamieJackson___,V,95184,1/19/2023,B
RealTimBlack,V,95081,1/26/2023,B
ArmyWP_Football,V,94987,12/23/2022,B
kelvimescobar,V,94798,12/16/2022,B
laravelnews,V,94763,12/13/2022,B
BrandonHuffman,V,94736,1/12/2023,B
kingsaud,V,94686,1/10/2023,B
RomagagaGuidini,V,94231,1/10/2023,B
kenditter,V,93918,1/15/2023,B
KurtBenkert,V,93757,12/30/2022,B
CHCHNews,V,93496,12/23/2022,B
CSURAM88,V,93445,1/5/2023,B
CryptoGarga,V,93414,12/29/2022,B
DoeBoyOfficial,V,93379,1/15/2023,B
JamesARay,V,92949,1/19/2023,B
REVERSALx7,V,92940,11/29/2022,B
STARSambulance,V,92932,1/10/2023,B
BadRedheadMedia,V,92592,12/17/2022,B
FSU_Softball,V,92439,2/4/2023,B
muneeb,V,92432,1/24/2023,B
TCIndex,V,92364,11/12/2022,B
danreecer_,V,92314,12/22/2022,B
PlacidoDomingo,V,92306,1/6/2023,B
DansDeals,V,91989,12/17/2022,B
BobPickard,V,91960,1/13/2023,B
sascha348,V,91685,1/14/2023,B
jmoserr,V,91145,11/10/2022,B
PowerbangGaming,V,91110,1/13/2023,B
videotech_,V,90868,11/10/2022,U
jimmycthatsme,V,90864,1/19/2023,B
Israa_Alfass,V,90777,11/11/2022,B
TexasGOP,V,90677,1/18/2023,B
MFAMCentral,V,90558,1/10/2023,B
MatthewSabia,V,90456,11/10/2022,U
TomFornelli,V,90435,11/10/2022,B
EWTNews,V,90202,11/10/2022,B
bengreenfield,V,89925,12/22/2022,B
SwanBitcoin,V,89831,1/13/2023,B
MFollowill,V,89775,1/12/2023,B
gabycastellanos,V,89757,11/10/2022,B
abemiho0110,V,89602,1/15/2023,B
JulianWasHere,V,89466,11/10/2022,B
sandy_carter,V,89240,1/26/2023,B
BeaPlaysRBLX,V,88735,1/14/2023,B
rikashiikiamf,V,88394,1/15/2023,B
Siefe,V,88207,12/6/2022,B
NaheedD,V,88204,1/27/2023,B
owocki,V,88166,1/8/2023,B
SenLouiseLucas,V,88046,1/28/2023,B
0xHustler,V,87784,1/1/2023,U
ErikDavis,V,87737,12/31/2022,B
JunkScience,V,87557,12/14/2022,B
TrooperBenKHP,V,87419,11/10/2022,B
evanluza,V,87264,12/30/2022,U
seangarrette,V,87238,1/14/2023,B
TheMayorsOffice,V,87058,12/25/2022,B
Julius_Kim,V,86954,1/6/2023,B
Alya_Alhwaiti,V,86950,11/14/2022,B
Grummz,V,86935,12/14/2022,B
RobManess,V,86924,1/8/2023,B
LiQuiD112,V,86911,1/15/2023,B
HenMazzig,V,86761,12/31/2022,B
TheDraftNetwork,V,86719,1/19/2023,B
BrianNorgard,V,86668,2/1/2023,B
Madusa_rocks,V,86598,12/30/2022,B
ItsDeanBlundell,V,86547,1/19/2023,B
iannarino,V,86176,12/20/2022,B
FlyingWithSara,V,85676,1/5/2023,B
Gramatik,V,85545,1/5/2023,U
CarmineSabia,V,85499,1/13/2023,B
lilgnar,V,85299,1/10/2023,B
bennicky,V,85170,11/10/2022,B
RingsideC,V,85136,1/14/2023,B
JeffElder,V,85061,1/19/2023,B
Jeff_Piotrowski,V,84920,1/18/2023,B
MaryMargOlohan,V,84688,1/17/2023,B
Storm4Congress,V,84240,1/13/2023,B
30_mio_0517,V,84232,1/15/2023,B
paimadhu,V,84191,1/14/2023,B
bijan,V,84107,12/31/2022,B
FrancesHaugen,V,83823,2/3/2023,B
Guglielminetti,V,83500,1/9/2023,B
Alsboringtweets,V,83224,11/11/2022,B
