Screenname,Legacy_Verified,Follower_Count,Subscription_Date,Status
Ali_Albukhaiti,V,1238713,11/10/2022,B
XBIZ,V,1238411,1/24/2023,B
MarvelLatin,V,1226348,12/16/2022,U
YaOnlyLivvOnce,V,1213636,12/17/2022,B
KreekCraft,V,1210977,12/1/2022,B
PhillyD,V,1205513,1/19/2023,B
ginacarano,V,1202345,12/17/2022,B
JDaIey,V,1201215,11/10/2022,B
pmarca,V,1193373,11/10/2022,B
1pcornwell,V,1192985,1/13/2023,B
Fresh,V,1189009,12/31/2022,B
greta,V,1182205,1/5/2023,B
mmpadellan,V,1181927,12/29/2022,B
brian_armstrong,V,1179440,1/19/2023,B
TurkiShalhoub,V,1169674,1/14/2023,B
delsasolorzano,V,1168448,1/20/2023,B
kigogo2014,V,1164838,11/14/2022,B
SarahHuckabee,V,1148013,1/26/2023,B
MrAndyNgo,V,1138212,12/30/2022,B
rcavada,V,1137509,1/28/2023,B
unusual_whales,V,1113172,1/31/2023,B
funder,V,1105787,11/10/2022,B
TheCryptoLark,V,1087172,1/24/2023,B
Benioff,V,1084238,1/19/2023,B
peta,V,1079564,12/14/2022,B
MollyJongFast,V,1074054,1/14/2023,B
SakimiChanArt,V,1061600,2/3/2023,B
geertwilderspvv,V,1048853,11/10/2022,B
Bitboy_Crypto,V,1042272,12/22/2022,U
ZubyMusic,V,1036133,2/3/2023,B
carlosvecchio,V,1024684,1/15/2023,B
bernabephoto,V,1016835,12/22/2022,B
Scaramucci,V,1009140,1/27/2023,B
UglyGod,V,1007010,1/5/2023,B
Romi_Rain,V,999480,11/10/2022,B
mattswider,V,995827,1/26/2023,U
shiftdeletenet,V,994616,1/10/2023,B
BuckSexton,V,989937,2/1/2023,B
ufotable,V,989117,1/14/2023,B
natalieevamarie,V,987141,12/14/2022,B
alexwaarren,V,986293,12/1/2022,U
KatiePavlich,V,977372,11/10/2022,B
Uniswap,V,976499,12/16/2022,B
RyanAFournier,V,970873,11/10/2022,B
edermilitao,V,959941,1/10/2023,B
DickieV,V,958945,12/20/2022,B
nntaleb,V,954358,1/13/2023,B
iihtishamm,V,945150,11/10/2022,B
segalink,V,939335,11/10/2022,B
johnnys,V,936908,1/14/2023,B
GrantCardone,V,922569,1/13/2023,B
donwinslow,V,922339,12/22/2022,B
_elan_,V,921620,11/10/2022,B
PeterSchiff,V,915571,12/28/2022,B
emimartinezz1,V,913684,12/23/2022,B
RosannaPansino,V,911687,12/29/2022,B
DaniCeballos46,V,910631,1/10/2023,B
zoecello,V,909330,1/14/2023,B
vinniehacker,V,907836,11/11/2022,B
RSBNetwork,V,905343,11/10/2022,B
ThatEricAlper,V,896675,12/14/2022,B
AxieInfinity,V,893835,12/30/2022,B
Ammar_Alhakeem,V,893415,1/10/2023,B
prageru,V,888672,12/16/2022,B
SwaeLee,V,887464,2/4/2023,B
TobyTurner,V,886241,1/13/2023,B
kenradio,V,885140,12/22/2022,B
workwthecoach,V,883677,11/22/2022,B
cdixon,V,879759,11/10/2022,B
NikkiHaley,V,878612,1/27/2023,B
scottmelker,V,874733,12/23/2022,B
BretWeinstein,V,873634,11/10/2022,B
tamrajudgeOC,V,870507,11/10/2022,U
YeleSowore,V,866865,1/19/2023,B
copano,V,850326,1/13/2023,B
SahilBloom,V,850069,11/10/2022,B
strombo,V,848738,11/10/2022,B
hubermanlab,V,841931,12/16/2022,B
TheVillaSomalia,V,836991,12/22/2022,B
BeschlossDC,V,832089,1/5/2023,B
TimRunsHisMouth,V,830672,1/19/2023,B
ACTBrigitte,V,821853,12/23/2022,B
twomad,V,814663,11/10/2022,U
JeromeASF,V,794842,11/10/2022,B
paulscheer,V,794672,2/3/2023,B
BrendanSchaub,V,792351,11/10/2022,B
dennyhamlin,V,789998,1/19/2023,B
AdamMGrant,V,785662,1/31/2023,B
fangshimin,V,785451,12/30/2022,B
PaigeSpiranac,V,782265,1/26/2023,B
BSCNews,V,779027,1/10/2023,B
RealKiddWaya,V,777629,1/14/2023,B
nonprofitorgs,V,777620,12/17/2022,B
LizKatzOfficial,V,774968,1/6/2023,B
dustinrhodes,V,768193,11/10/2022,B
JoelMadden,V,763084,12/7/2022,B
AlziadiQ8,V,761480,1/10/2023,B
pouriazeraati,V,761269,1/14/2023,B
peterjordan100,V,757828,11/14/2022,U
RobertKennedyJr,V,755527,1/11/2023,B
StellarOrg,V,753115,12/16/2022,B
beeple,V,738331,12/29/2022,B
haskologlu,V,737875,2/4/2023,B
leadlagreport,V,736892,12/22/2022,B
JohnnySins,V,733677,1/13/2023,B
ARKInvest,V,722658,11/10/2022,B
Pocky_Sweets,V,721888,1/15/2023,B
Qabdullahhumair,V,718807,1/10/2023,B
neekolul,V,714116,11/11/2022,B
RealDeanCain,V,713623,11/10/2022,B
GroovyBruce,V,713077,1/10/2023,B
mqasem,V,709366,1/27/2023,B
WhitlockJason,V,704613,12/22/2022,B
UtdDistrict,V,701710,1/10/2023,B
elliotrades,V,697941,12/30/2022,B
davidgokhshtein,V,696369,11/10/2022,U
DanPriceSeattle,V,690479,12/15/2022,B
iVishnuManchu,V,684119,11/14/2022,B
carolvorders,V,683185,1/13/2023,B
MichaelDell,V,681221,11/10/2022,B
AlinejadMasih,V,679018,12/30/2022,B
AliVelshi,V,675920,12/16/2022,B
WallStreetSilv,V,673966,11/11/2022,B
Jason,V,670846,11/10/2022,B
pnjaban,V,669586,12/16/2022,B
WhoresofYore,V,668049,12/22/2022,B
politicocd,V,666925,1/10/2023,U
MichaelRapaport,V,662902,1/19/2023,B
joshgad,V,662732,11/10/2022,U
RachelStarrxxx,V,661813,12/22/2022,B
FatKidDeals,V,660877,12/14/2022,B
Heritage,V,660011,11/10/2022,U
elijahdaniel,V,659584,12/7/2022,B
